Parties,Operations,Time
20,1000,59.5209527015686
20,1000,63.49111461639404
20,1000,66.80927872657776
20,1000,64.04851913452148
20,1000,56.33401679992676
20,500,30.219125032424927
20,500,31.02618098258972
20,500,27.69458770751953
20,500,31.152148246765137
20,500,30.501554012298584
20,100,9.983933687210083
20,100,12.690682888031006
20,100,9.908982753753662
20,100,9.89695429801941
20,100,12.86229157447815
20,10,6.108550548553467
20,10,6.0943217277526855
20,10,6.06878137588501
20,10,6.159096717834473
20,10,8.99103832244873
20,10,8.99103832244873
20,1000,90.51793193817139
20,1000,60.834532260894775
20,1000,67.14685845375061
20,1000,56.7091019153595
20,1000,66.60880947113037
20,500,41.713210105895996
20,500,34.886550188064575
20,500,35.79029726982117
20,500,33.21216559410095
20,500,34.27323389053345
20,100,11.066049575805664
20,100,11.361874341964722
20,100,10.937251806259155
20,100,11.60997986793518
20,100,11.735534906387329
20,10,6.155268907546997
20,10,6.333334445953369
20,10,6.525699138641357
20,10,6.456248760223389
20,10,6.401064157485962
20,10,6.401064157485962
20,1000,51.66302728652954
20,1000,53.3628613948822
20,1000,54.27626824378967
20,1000,57.89462113380432
20,1000,65.91641306877136
20,500,30.520851850509644
20,500,41.28675627708435
20,500,29.274133443832397
20,500,31.378092527389526
20,500,29.716920375823975
20,100,10.22474718093872
20,100,10.275059938430786
20,100,11.251452445983887
20,100,10.87181282043457
20,100,11.612846612930298
20,10,6.152571201324463
20,10,6.292686223983765
20,10,6.254186391830444
20,10,6.31381630897522
20,10,6.2069091796875
20,10,6.2069091796875
20,1000,74.94685435295105
20,1000,80.02287936210632
20,1000,75.68524885177612
20,1000,75.55726528167725
20,1000,75.6000292301178
20,500,41.66981649398804
20,500,41.76072335243225
20,500,40.85350203514099
20,500,42.84338855743408
20,500,40.51424169540405
20,100,13.196156978607178
20,100,13.153948307037354
20,100,13.116577386856079
20,100,13.14437198638916
20,100,13.0572669506073
20,10,7.206441164016724
20,10,6.991556406021118
20,10,6.691852807998657
20,10,6.957451820373535
20,10,6.956937551498413
20,10,6.956937551498413
20,1000,56.53573513031006
20,1000,56.990583658218384
20,1000,56.9589307308197
20,1000,59.396355390548706
20,1000,59.07536840438843
20,500,32.04367232322693
20,500,32.822957277297974
20,500,32.344722509384155
20,500,30.073591232299805
20,500,32.11718535423279
20,100,13.082283973693848
20,100,10.265023231506348
20,100,10.163341999053955
20,100,13.030599117279053
20,100,10.33427882194519
20,10,6.337510585784912
20,10,6.098103284835815
20,10,9.038689613342285
20,10,6.169429540634155
20,10,6.379662275314331
20,10,6.379662275314331
20,1000,62.36741805076599
20,1000,59.78337216377258
20,1000,74.71429705619812
20,1000,70.63698077201843
20,1000,67.30401515960693
20,500,33.890443325042725
20,500,34.28557252883911
20,500,34.33219933509827
20,500,35.73408913612366
20,500,33.04449701309204
20,100,11.090429306030273
20,100,11.365196466445923
20,100,11.9833402633667
20,100,12.073247194290161
20,100,11.577101945877075
20,10,6.407034397125244
20,10,6.445044994354248
20,10,6.966635704040527
20,10,6.262263298034668
20,10,6.27212119102478
20,10,6.27212119102478
20,1000,70.72051453590393
20,1000,66.51032662391663
20,1000,60.29975771903992
20,1000,60.301836252212524
20,1000,60.05121111869812
20,500,31.75321865081787
20,500,31.966224670410156
20,500,32.04674959182739
20,500,31.97393798828125
20,500,31.623429536819458
20,100,10.652080774307251
20,100,10.709639310836792
20,100,10.820625305175781
20,100,10.699223756790161
20,100,10.6434965133667
20,10,6.220914840698242
20,10,6.3616461753845215
20,10,6.366560935974121
20,10,6.263364791870117
20,10,6.20100736618042
20,10,6.20100736618042
