Parties,Operations,Time
20,100,77.64359474182129
20,100,86.62814664840698
20,100,79.32748651504517
20,100,95.38020253181458
20,100,98.9300332069397
20,75,73.89661765098572
20,75,73.88373851776123
20,75,76.64849376678467
20,75,75.53764200210571
20,75,72.39965963363647
20,50,51.098448276519775
20,50,50.92329788208008
20,50,51.25978636741638
20,50,50.693825483322144
20,50,50.139050006866455
20,25,28.035685300827026
20,25,26.375062227249146
20,25,26.31432318687439
20,25,22.79750156402588
20,25,22.08078670501709
20,10,11.774330377578735
20,10,13.251150608062744
20,10,19.293387413024902
20,10,12.125076532363892
20,10,11.914667129516602
20,5,8.497760772705078
20,5,8.356378555297852
20,5,8.341139078140259
20,5,8.576319217681885
20,5,8.383284568786621
20,5,8.383284568786621
20,100,83.40523838996887
20,100,88.43671941757202
20,100,86.92328453063965
20,100,86.54811573028564
20,100,87.03987884521484
20,75,64.93265175819397
20,75,62.64458918571472
20,75,62.29994988441467
20,75,62.76162147521973
20,75,64.2390022277832
20,50,45.5132851600647
20,50,45.67142915725708
20,50,45.04076361656189
20,50,45.80501675605774
20,50,46.91794157028198
20,25,25.091371536254883
20,25,23.82577919960022
20,25,23.359929084777832
20,25,23.495950937271118
20,25,24.95372462272644
20,10,12.104405164718628
20,10,12.170503854751587
20,10,12.064058065414429
20,10,12.088721513748169
20,10,11.692888259887695
20,5,8.497951984405518
20,5,8.429912567138672
20,5,8.349409580230713
20,5,8.453073263168335
20,5,8.26437258720398
20,5,8.26437258720398
20,100,78.10233211517334
20,100,79.85512280464172
20,100,80.6857578754425
20,100,79.73316407203674
20,100,80.06815314292908
20,75,61.33185076713562
20,75,61.346142530441284
20,75,61.423006772994995
20,75,63.310354232788086
20,75,62.54458689689636
20,50,42.30052208900452
20,50,41.57337808609009
20,50,42.31321382522583
20,50,41.693177223205566
20,50,42.32817625999451
20,25,23.157395124435425
20,25,22.876267433166504
20,25,22.661023378372192
20,25,22.49944519996643
20,25,22.41170358657837
20,10,11.846478462219238
20,10,13.410365581512451
20,10,11.646378993988037
20,10,11.5606849193573
20,10,11.620273113250732
20,5,8.24184274673462
20,5,8.267022848129272
20,5,8.220006704330444
20,5,8.226275444030762
20,5,8.267547845840454
20,5,8.267547845840454
20,100,105.86672568321228
20,100,107.23795294761658
20,100,105.07020497322083
20,100,104.97346830368042
20,100,105.35408163070679
20,75,141.493492603302
20,75,92.0878472328186
20,75,93.23233079910278
20,75,93.09614634513855
20,75,91.50094699859619
20,50,64.10975861549377
20,50,58.78140735626221
20,50,59.600931882858276
20,50,56.82966947555542
20,50,56.175501585006714
20,25,34.43432807922363
20,25,30.956220865249634
20,25,30.630061388015747
20,25,31.32060480117798
20,25,30.64192008972168
20,10,15.297375202178955
20,10,16.239938020706177
20,10,15.2409827709198
20,10,16.186384916305542
20,10,15.463596820831299
20,5,10.142044067382812
20,5,10.272701025009155
20,5,10.042097806930542
20,5,10.178959846496582
20,5,10.089898824691772
20,5,10.089898824691772
20,100,87.61443328857422
20,100,90.40610980987549
20,100,85.38002467155457
20,100,89.33076930046082
20,100,89.44813466072083
20,75,69.3664755821228
20,75,68.08280634880066
20,75,67.29436802864075
20,75,67.04011487960815
20,75,67.30806803703308
20,50,44.8543815612793
20,50,47.536961793899536
20,50,46.424766540527344
20,50,45.030375480651855
20,50,44.60016846656799
20,25,25.717649221420288
20,25,25.92585849761963
20,25,26.034461736679077
20,25,23.539763927459717
20,25,27.010205030441284
20,10,12.084189653396606
20,10,14.743001461029053
20,10,12.174772024154663
20,10,14.839754343032837
20,10,11.8354332447052
20,5,8.429949045181274
20,5,8.307435512542725
20,5,11.472262144088745
20,5,8.627577066421509
20,5,8.40705132484436
20,5,8.40705132484436
20,100,79.59492015838623
20,100,81.17280530929565
20,100,80.85717606544495
20,100,81.00151824951172
20,100,81.00798892974854
20,75,62.17670822143555
20,75,61.11028265953064
20,75,61.82770013809204
20,75,61.59559655189514
20,75,63.17478942871094
20,50,42.03485178947449
20,50,43.138678312301636
20,50,42.671040773391724
20,50,42.69798684120178
20,50,42.478007555007935
20,25,22.639801740646362
20,25,22.849018573760986
20,25,22.874667644500732
20,25,23.37046217918396
20,25,23.13180708885193
20,10,11.96016001701355
20,10,11.96025276184082
20,10,12.07566237449646
20,10,12.134930849075317
20,10,12.014058113098145
20,5,8.474238872528076
20,5,8.479625940322876
20,5,8.451647996902466
20,5,8.900398969650269
20,5,8.595726728439331
20,5,8.595726728439331
20,100,81.52205896377563
20,100,81.83281755447388
20,100,92.52960658073425
20,100,95.12825989723206
20,100,85.32457304000854
20,75,65.81768536567688
20,75,66.2433488368988
20,75,72.89541339874268
20,75,67.55940699577332
20,75,63.94851469993591
20,50,48.3925244808197
20,50,47.48014521598816
20,50,46.182581186294556
20,50,42.95327877998352
20,50,43.75383925437927
20,25,29.535282611846924
20,25,26.6604745388031
20,25,41.95213270187378
20,25,37.18313002586365
20,25,37.450979709625244
20,10,19.411728858947754
20,10,20.30939030647278
20,10,19.015671730041504
20,10,20.203428030014038
20,10,20.859663009643555
20,5,13.427496671676636
20,5,14.111173629760742
20,5,11.414973258972168
20,5,11.386784315109253
20,5,11.482815742492676
20,5,11.482815742492676
