Parties,Operations,Time
20,100,102.9268913269043
20,100,101.81969833374023
20,100,105.92367839813232
20,100,106.57575178146362
20,100,89.02144956588745
20,75,71.79984998703003
20,75,83.6090145111084
20,75,70.43170642852783
20,75,68.31460857391357
20,75,66.06518530845642
20,50,43.6675808429718
20,50,44.767261266708374
20,50,45.303438663482666
20,50,50.13278913497925
20,50,46.67702269554138
20,25,23.99541735649109
20,25,24.10223126411438
20,25,29.710268020629883
20,25,25.128380060195923
20,25,25.420517921447754
20,10,13.623608112335205
20,10,13.073067665100098
20,10,13.452165365219116
20,10,12.781811475753784
20,10,12.784141778945923
20,5,9.149791955947876
20,5,8.965190410614014
20,5,9.262538433074951
20,5,9.438494443893433
20,5,9.159726619720459
20,5,9.159726619720459
20,100,123.2500479221344
20,100,85.45896291732788
20,100,88.56960439682007
20,100,101.00829696655273
20,100,91.66377210617065
20,75,71.77907347679138
20,75,66.87172651290894
20,75,73.04233860969543
20,75,66.018550157547
20,75,64.76875758171082
20,50,47.786208629608154
20,50,44.75871181488037
20,50,47.458614110946655
20,50,46.32785129547119
20,50,45.18765377998352
20,25,24.60005259513855
20,25,25.047050952911377
20,25,24.961602210998535
20,25,27.491947650909424
20,25,29.187256574630737
20,10,13.197007417678833
20,10,14.038183689117432
20,10,13.386414766311646
20,10,13.703701496124268
20,10,12.818725347518921
20,5,9.146198511123657
20,5,9.151266098022461
20,5,9.589418649673462
20,5,8.878085136413574
20,5,9.603036165237427
20,5,9.603036165237427
20,100,81.98691964149475
20,100,84.91861844062805
20,100,91.53575849533081
20,100,83.2955412864685
20,100,94.38587689399719
20,75,66.24812126159668
20,75,67.13578009605408
20,75,65.0859887599945
20,75,66.3697030544281
20,75,64.77465987205505
20,50,46.6773796081543
20,50,45.26413917541504
20,50,51.438093185424805
20,50,44.12567090988159
20,50,45.01315689086914
20,25,24.458959102630615
20,25,25.14733099937439
20,25,24.50275731086731
20,25,24.762387990951538
20,25,25.525099754333496
20,10,12.388040781021118
20,10,13.260412454605103
20,10,13.445555925369263
20,10,12.877803087234497
20,10,13.756455183029175
20,5,8.997881412506104
20,5,9.254956245422363
20,5,9.150731086730957
20,5,8.949941635131836
20,5,8.912773847579956
20,5,8.912773847579956
20,100,124.35398268699646
20,100,114.17553043365479
20,100,120.70955634117126
20,100,122.3132176399231
20,100,112.75004887580872
20,75,87.30059838294983
20,75,98.44386887550354
20,75,96.79620385169983
20,75,87.7930908203125
20,75,97.20561742782593
20,50,66.93167638778687
20,50,58.536505937576294
20,50,64.1414806842804
20,50,57.953348875045776
20,50,61.25733280181885
20,25,34.469146728515625
20,25,34.963865518569946
20,25,35.45937466621399
20,25,34.48777723312378
20,25,32.59626817703247
20,10,17.455271244049072
20,10,19.34275197982788
20,10,15.979658603668213
20,10,16.74731731414795
20,10,16.63448190689087
20,5,11.710959911346436
20,5,12.900345087051392
20,5,10.923304080963135
20,5,10.565808534622192
20,5,11.437926292419434
20,5,11.437926292419434
20,100,88.27960014343262
20,100,90.89585471153259
20,100,91.86252689361572
20,100,87.71576118469238
20,100,92.31513953208923
20,75,68.2083306312561
20,75,70.38972496986389
20,75,67.51493692398071
20,75,69.6366057395935
20,75,68.61017441749573
20,50,53.78372573852539
20,50,44.05766749382019
20,50,46.43486309051514
20,50,45.97596287727356
20,50,46.344611167907715
20,25,29.271005153656006
20,25,31.158418893814087
20,25,30.222283124923706
20,25,27.486738204956055
20,25,29.569613218307495
20,10,15.848768949508667
20,10,12.989256381988525
20,10,12.918235301971436
20,10,16.122177124023438
20,10,12.874390840530396
20,5,12.51138949394226
20,5,8.902987480163574
20,5,9.071732997894287
20,5,8.830198764801025
20,5,12.225568771362305
20,5,12.225568771362305
20,100,92.95424962043762
20,100,100.67417478561401
20,100,99.36609530448914
20,100,97.11488199234009
20,100,103.94758200645447
20,75,77.93933725357056
20,75,81.75102615356445
20,75,79.58199071884155
20,75,79.14452171325684
20,75,81.08532285690308
20,50,53.548364877700806
20,50,49.658161878585815
20,50,49.54133367538452
20,50,48.21678638458252
20,50,46.26274108886719
20,25,25.57692289352417
20,25,24.440881729125977
20,25,26.641607761383057
20,25,24.79067587852478
20,25,24.75610041618347
20,10,12.77292275428772
20,10,12.748516082763672
20,10,12.68915867805481
20,10,13.085495948791504
20,10,12.750945329666138
20,5,9.21478009223938
20,5,9.562886238098145
20,5,9.22078275680542
20,5,9.003600597381592
20,5,8.735053539276123
20,5,8.735053539276123
20,100,86.55135989189148
20,100,89.82818412780762
20,100,89.56970262527466
20,100,91.80479550361633
20,100,87.30059933662415
20,75,67.59860515594482
20,75,67.96633005142212
20,75,67.63981413841248
20,75,68.93816184997559
20,75,65.96980428695679
20,50,46.765427589416504
20,50,45.870936155319214
20,50,47.029377698898315
20,50,45.9801766872406
20,50,46.83869457244873
20,25,25.718920946121216
20,25,25.308504104614258
20,25,25.252862691879272
20,25,25.111875534057617
20,25,24.923402070999146
20,10,13.19620132446289
20,10,13.204647541046143
20,10,13.379945039749146
20,10,12.8116135597229
20,10,12.614944219589233
20,5,9.4575674533844
20,5,9.490230798721313
20,5,8.824023008346558
20,5,9.556227207183838
20,5,9.165879487991333
20,5,9.165879487991333
