Parties,Operations,Time
20,1000,19.61028742790222
20,1000,22.530383825302124
20,1000,19.330445289611816
20,1000,27.289535999298096
20,1000,27.657517671585083
20,500,14.880057573318481
20,500,17.408860683441162
20,500,14.674739122390747
20,500,17.41589879989624
20,500,14.735081434249878
20,100,10.605557680130005
20,100,7.4250383377075195
20,100,7.367744207382202
20,100,7.454566717147827
20,100,8.184113264083862
20,10,8.855800151824951
20,10,5.868547677993774
20,10,6.132007360458374
20,10,5.899716138839722
20,10,5.873018980026245
20,10,5.873018980026245
20,1000,28.250134229660034
20,1000,23.321003437042236
20,1000,21.13952112197876
20,1000,21.125585556030273
20,1000,21.09367322921753
20,500,13.342013359069824
20,500,13.173384666442871
20,500,13.140284538269043
20,500,15.38480830192566
20,500,13.12134313583374
20,100,7.220061779022217
20,100,7.162400960922241
20,100,7.505309343338013
20,100,7.2218241691589355
20,100,7.9063544273376465
20,10,7.292700529098511
20,10,6.4138267040252686
20,10,6.111479997634888
20,10,5.847949266433716
20,10,5.887810468673706
20,10,5.887810468673706
20,1000,27.44531536102295
20,1000,27.0762357711792
20,1000,21.406838417053223
20,1000,22.266422748565674
20,1000,22.69192123413086
20,500,13.98530626296997
20,500,13.82965636253357
20,500,14.2498037815094
20,500,13.502567768096924
20,500,14.280405044555664
20,100,7.33789324760437
20,100,7.154918193817139
20,100,7.163955450057983
20,100,7.201063871383667
20,100,7.254763126373291
20,10,6.033604621887207
20,10,5.850457191467285
20,10,5.830280303955078
20,10,5.86285400390625
20,10,5.876817226409912
20,10,5.876817226409912
20,1000,28.68184185028076
20,1000,30.487925052642822
20,1000,29.188151359558105
20,1000,29.01247811317444
20,1000,28.77261233329773
20,500,17.498902797698975
20,500,17.527315855026245
20,500,17.488786220550537
20,500,17.753066778182983
20,500,17.430920124053955
20,100,8.417545557022095
20,100,8.465410232543945
20,100,8.401025533676147
20,100,8.4357750415802
20,100,8.58212685585022
20,10,6.45905613899231
20,10,6.468359470367432
20,10,6.53336238861084
20,10,6.480807542800903
20,10,6.578122138977051
20,10,6.578122138977051
20,1000,23.452823877334595
20,1000,21.11225414276123
20,1000,23.78290319442749
20,1000,20.598475456237793
20,1000,23.73925542831421
20,500,16.18062472343445
20,500,13.010542631149292
20,500,13.290375232696533
20,500,16.122575283050537
20,500,13.023696422576904
20,100,7.141987323760986
20,100,10.03854489326477
20,100,7.106127738952637
20,100,7.0778069496154785
20,100,7.26757287979126
20,10,5.813145637512207
20,10,8.707226514816284
20,10,5.804401874542236
20,10,5.80706262588501
20,10,5.778587102890015
20,10,5.778587102890015
20,1000,23.179537534713745
20,1000,23.49074077606201
20,1000,23.039561986923218
20,1000,23.191164016723633
20,1000,24.61478281021118
20,500,14.732287883758545
20,500,14.587958335876465
20,500,15.698351383209229
20,500,14.747075319290161
20,500,14.477956771850586
20,100,8.17344331741333
20,100,7.440923452377319
20,100,7.518813371658325
20,100,7.5977630615234375
20,100,7.426001071929932
20,10,5.865306615829468
20,10,5.979977607727051
20,10,5.8618199825286865
20,10,5.877012729644775
20,10,5.863428115844727
20,10,5.863428115844727
20,1000,21.957797050476074
20,1000,22.519248962402344
20,1000,22.21465301513672
20,1000,22.838485956192017
20,1000,22.861261129379272
20,500,13.938602447509766
20,500,13.833587884902954
20,500,13.848450899124146
20,500,14.133608341217041
20,500,14.37656855583191
20,100,7.340028762817383
20,100,7.328812599182129
20,100,7.3121018409729
20,100,7.320188522338867
20,100,7.553223133087158
20,10,5.897792100906372
20,10,5.878886699676514
20,10,5.871172666549683
20,10,5.86015248298645
20,10,5.85239315032959
20,10,5.85239315032959
